SMILES Name NAME_Match
Cc1nc(NCC2CC(S(C)(=O)=O)C2)c2[nH]c(C)nc2n1 PV-006864964100 Adenine-Sulfone
Cc1nc(NCC2CCCCS2(=O)=O)c2[nH]c(C)nc2n1 PV-006758075901 Adenine-Sulfone
Cc1nc(NCC2CCCS(=O)(=O)C2)c2[nH]c(C)nc2n1 PV-006847402051 Adenine-Sulfone
Cc1nc(NCC2CCS(=O)(=O)C(C)C2)c2[nH]cnc2n1 PV-007029127117 Adenine-Sulfone
Cc1nc(NCC2CCS(=O)(=O)C2(C)C)c2[nH]cnc2n1 PV-007013187884 Adenine-Sulfone
Cc1nc(NCC2CCS(=O)(=O)CC2)c2[nH]c(C)nc2n1 PV-006756590348 Adenine-Sulfone
Cc1nc(NCCC(C)(C)S(C)(=O)=O)c2[nH]c(C)nc2n1 PV-007102553269 Adenine-Sulfone
Cc1nc(NCCC2(CS(C)(=O)=O)CC2)c2[nH]cnc2n1 PV-007007616368 Adenine-Sulfone
Cc1nc(NCCC2CCCS2(=O)=O)c2[nH]c(C)nc2n1 PV-007174662830 Adenine-Sulfone
Cc1nc(NCCC2CCS(=O)(=O)CC2)c2[nH]cnc2n1 PV-007032828003 Adenine-Sulfone
Cc1nc(NCCCS(=O)(=O)C(C)(C)C)c2[nH]cnc2n1 PV-007014450876 Adenine-Sulfone
Cc1nc(NCCS(=O)(=O)C(C)(C)C)c2[nH]c(C)nc2n1 PV-006980889555 Adenine-Sulfone
Cc1nc(NCCS(=O)(=O)CC(F)(F)F)c2[nH]cnc2n1 PV-007060822079 Adenine-Sulfone
Cc1nc(NCCS(=O)(=O)CC2CC2)c2[nH]c(C)nc2n1 PV-007040117918 Adenine-Sulfone
Cc1nc(NC[C@H]2C[C@H](S(C)(=O)=O)C2)c2[nH]c(C)nc2n1 PV-006864964099 Adenine-Sulfone
Cc1nc(NS(=O)(=O)C2(C(F)F)CC2)c2c(ncn2C)n1 Z4216836712 Adenine-Sulfone
Cc1nc(NS(=O)(=O)C2CC23CCC3)c2c(ncn2C)n1 Z5012598457 Adenine-Sulfone
Cc1nc(NS(=O)(=O)C2CCCCC2)c2c(ncn2C)n1 Z4216835273 Adenine-Sulfone
Cc1nc(NS(=O)(=O)CC(C)C2CC2)c2c(ncn2C)n1 Z4216836719 Adenine-Sulfone
Cc1nc(NS(=O)(=O)CCC(C)(F)F)c2c(ncn2C)n1 Z4216836461 Adenine-Sulfone
Cc1nc(NS(=O)(=O)CCCC(C)C)c2c(ncn2C)n1 Z4216835920 Adenine-Sulfone
Cc1nc(NS(=O)(=O)CCCCF)c2c(ncn2C)n1 Z4216836123 Adenine-Sulfone
Cc1nc(NS(=O)(=O)c2ccc(C)s2)c2c(ncn2C)n1 Z4216834923 Adenine-Sulfone
Cc1nc(NS(=O)(=O)c2ccccc2)c2c(ncn2C)n1 PV-002790572009 Adenine-Sulfone
Cc1nc(NS(=O)(=O)c2ccsc2C)c2c(ncn2C)n1 Z4384678763 Adenine-Sulfone
Cc1nc(NS(=O)(=O)c2csc(C)c2)c2c(ncn2C)n1 Z4216835786 Adenine-Sulfone
Cc1nc(NS(=O)(=O)c2sccc2C)c2c(ncn2C)n1 Z4216835427 Adenine-Sulfone
Cc1nc(N[C@H]2CC[C@@H](S(C)(=O)=O)CC2)c2[nH]cnc2n1 PV-006952036262 Adenine-Sulfone
Cc1nc(N[C@H]2C[C@@H](CS(C)(=O)=O)C2)c2[nH]c(C)nc2n1 PV-007091802017 Adenine-Sulfone
Cc1nc(N[C@H]2C[C@H](CS(C)(=O)=O)C2)c2[nH]c(C)nc2n1 PV-007091802018 Adenine-Sulfone
Cn1cnc2c(NC(CS(C)(=O)=O)C(C)(C)C)ncnc21 Z3649601321 Adenine-Sulfone
Cn1cnc2c(NC3CCCC(S(C)(=O)=O)C3)ncnc21 Z1252448514 Adenine-Sulfone
Cn1cnc2c(NC3CCS(=O)(=O)C(C)(C)C3)ncnc21 Z2976708838 Adenine-Sulfone
Cn1cnc2c(NCC3(S(C)(=O)=O)CCCC3)ncnc21 Z2094585200 Adenine-Sulfone
Cn1cnc2c(NCCCS(=O)(=O)C(C)(C)C)ncnc21 Z4390275168 Adenine-Sulfone
Cn1cnc2c(NCCS(=O)(=O)c3cccs3)ncnc21 Z1958564487 Adenine-Sulfone
Cn1cnc2c(NCc3ccsc3S(C)(=O)=O)ncnc21 Z3079627773 Adenine-Sulfone
Cn1cnc2c(NCc3sccc3S(C)(=O)=O)ncnc21 Z3561649866 Adenine-Sulfone
Cn1cnc2c(N[C@H]3CC[C@@H](S(C)(=O)=O)CC3)ncnc21 Z3395955990 Adenine-Sulfone
Cn1cnc2ncnc(NC(CS(C)(=O)=O)C(C)(C)C)c21 Z5334349693 Adenine-Sulfone
Cn1cnc2ncnc(NC3CCCC(S(C)(=O)=O)C3)c21 Z5332534090 Adenine-Sulfone
Cn1cnc2ncnc(NC3CCS(=O)(=O)C(C)(C)C3)c21 Z5333919392 Adenine-Sulfone
Cn1cnc2ncnc(NCC3(S(C)(=O)=O)CCCC3)c21 Z5333255091 Adenine-Sulfone
Cn1cnc2ncnc(NCCCS(=O)(=O)C(C)(C)C)c21 Z5334465685 Adenine-Sulfone
Cn1cnc2ncnc(NCCS(=O)(=O)c3cccs3)c21 Z5333145218 Adenine-Sulfone
